Div,Date,season,HomeTeam,AwayTeam,HTOa,ATOa,HTAt,ATAt,HTMid,ATMid,HTDef,ATDef,HomeSquad,AwaySquad,HomeAvgAge,AwayAvgAge,HomeMV,AwayMV,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HxG,AxG,HxA,AxA,HxPTS,AxPTS,HPPDA,APPDA,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,PSCH,PSCD,PSCA
E0,2015-08-08,2015-2016,Bournemouth,Aston Villa,73,75,74,74,72,74,72,76,49,44,25,24,99.9,117.95,0,1,A,0,0,D,11,7,2,3,13,13,6,3,3,4,0,0,0.88,0.78,0.42,0.56,1.39,1.25,6.9,11.85,2.0,3.6,4.0,2.0,3.3,3.7,2.1,3.3,3.3,1.95,3.65,4.27,1.91,3.5,4.0,2.0,3.5,4.2,1.82,3.88,4.7
E0,2015-08-08,2015-2016,Chelsea,Swansea,83,77,83,76,82,75,82,76,40,36,24,25,553.5,145.8,2,2,D,2,1,H,11,18,3,10,15,16,4,8,1,3,1,0,0.64,2.59,0.42,1.19,0.18,2.72,10.36,8.83,1.36,5.0,11.0,1.4,4.75,9.0,1.33,4.8,8.3,1.39,4.92,10.39,1.4,4.0,10.0,1.4,5.0,9.5,1.37,5.04,10.88
E0,2015-08-08,2015-2016,Everton,Watford,78,75,80,75,77,72,77,74,39,39,25,27,249.85,137.0,2,2,D,0,1,A,10,11,5,5,7,13,8,2,1,2,0,0,0.6,0.56,0.55,0.42,1.33,1.24,6.65,17.16,1.7,3.9,5.5,1.7,3.5,5.0,1.7,3.6,4.7,1.7,3.95,5.62,1.73,3.5,5.0,1.73,3.9,5.4,1.75,3.76,5.44
E0,2015-08-08,2015-2016,Leicester,Sunderland,74,76,74,77,73,76,73,74,35,42,26,26,161.1,111.25,4,2,H,3,0,H,19,10,8,5,13,17,6,3,2,4,0,0,2.57,1.46,1.73,1.29,2.13,0.66,10.88,9.56,1.95,3.5,4.33,2.0,3.3,3.75,2.0,3.3,3.6,1.99,3.48,4.34,2.0,3.1,2.7,2.0,3.4,4.33,1.79,3.74,5.1
E0,2015-08-08,2015-2016,Manchester United,Tottenham,81,79,86,78,81,77,78,79,44,31,23,23,439.85,371.85,1,0,H,1,0,H,9,9,1,4,12,12,1,2,2,3,0,0,0.63,0.67,0.28,0.59,1.22,1.39,13.83,8.22,1.65,4.0,6.0,1.65,4.0,5.5,1.65,3.6,5.1,1.65,4.09,5.9,1.62,3.6,6.0,1.67,4.0,5.75,1.64,4.07,6.04
E0,2015-08-08,2015-2016,Norwich,Crystal Palace,74,75,72,74,73,75,71,76,41,38,26,26,116.9,135.7,1,3,A,0,1,A,17,11,6,7,14,20,1,4,1,0,0,0,1.13,2.11,0.42,2.05,0.65,2.13,5.74,10.63,2.55,3.3,3.0,2.6,3.2,2.7,2.4,3.2,2.85,2.52,3.35,3.08,2.6,3.1,2.88,2.6,3.25,3.0,2.46,3.39,3.14
E0,2015-08-09,2015-2016,Arsenal,West Ham,82,76,82,76,80,75,80,75,41,50,24,24,457.85,201.33,0,2,A,0,1,A,22,8,6,4,12,9,5,4,1,3,0,0,1.33,0.54,1.11,0.51,2.01,0.71,8.17,12.45,1.29,6.0,12.0,1.28,5.75,10.5,1.33,4.8,8.3,1.31,5.75,12.0,1.3,5.0,11.0,1.3,5.75,12.0,1.24,6.75,15.0
E0,2015-08-09,2015-2016,Newcastle United,Southampton,76,77,77,77,77,77,76,75,42,35,24,25,198.0,225.5,2,2,D,1,1,D,9,15,4,5,9,12,6,6,2,4,0,0,1.55,1.25,0.57,1.14,1.63,1.05,12.72,7.0,2.88,3.3,2.7,2.8,3.1,2.75,2.65,3.3,2.5,2.88,3.33,2.69,2.7,3.1,2.7,2.88,3.25,2.7,3.09,3.28,2.55
E0,2015-08-09,2015-2016,Stoke,Liverpool,76,80,77,82,76,78,76,77,31,44,27,23,147.0,375.25,0,1,A,0,0,D,7,8,1,3,9,16,3,5,2,4,0,0,0.38,0.33,0.14,0.28,1.29,1.16,11.91,9.35,3.4,3.4,2.3,3.2,3.4,2.3,2.9,3.3,2.3,3.48,3.46,2.25,3.3,3.1,2.3,3.4,3.4,2.3,3.89,3.51,2.09
E0,2015-08-10,2015-2016,West Bromwich Albion,Manchester City,76,82,77,84,74,83,72,81,35,38,26,25,113.1,499.35,0,3,A,0,2,A,9,19,2,7,12,9,6,6,4,1,0,0,0.44,1.92,0.33,1.24,0.35,2.48,23.29,8.09,5.75,4.0,1.67,4.75,4.0,1.65,5.1,3.6,1.65,5.75,3.98,1.68,5.5,3.5,1.7,5.5,4.0,1.7,6.46,4.08,1.61
